,Car_Kilometers,Car_Engine_Sizes,Car_Seat_Numbers,Car_Models_LX,Car_Models_Land Cruiser,Car_Models_Range Rover,Car_Models_S Class,Car_Brands_Brand:Lexus,Car_Brands_Brand:Mercedes,Car_Brands_Brand:Range Rover,Car_Gear_Types_Automatic,Car_Gear_Types_CVT,Car_Drivetrains_AWD,Car_Drivetrains_Double (4x4),Car_Drivetrains_FWD,Car_Extensions_500,Car_Exterior_Colors_Black,Car_Interior_Colors_Camel,Car_Interior_Colors_Grey,Car_Origins_Saudi
140,0.5806228323564883,1.0092527805202172,3.3585749882188844,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True
141,0.4528276073161849,1.0092527805202172,1.5136995171476955,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
142,-0.08794402261432163,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
143,0.414847968261098,-0.32103647132995844,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
144,-0.21012577353054898,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
145,-0.4056374429300595,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
146,-0.5397556518350285,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
147,1.2524033490934978,-0.8531521720700288,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
148,-0.7884596838452074,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
149,-0.1379227234587904,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
150,-0.4768805680586676,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
151,0.9622556010594714,-0.32103647132995844,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
152,-0.5775892153552881,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
153,1.3927610701289455,-0.8531521720700288,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
154,0.7453960356416345,-0.32103647132995844,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
155,0.6536397318365702,-0.32103647132995844,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
156,-0.644742225508733,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
157,-0.49307408449094636,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
158,-0.7383557753994582,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
159,-0.42458552659050947,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
160,0.49994740126474874,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
161,-0.4289886605688739,1.0092527805202172,2.43613725268329,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True
162,1.2282174141128135,1.0092527805202172,2.43613725268329,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True
163,0.5873005710914486,1.0092527805202172,3.3585749882188844,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True
164,0.5203562402734713,1.0092527805202172,3.3585749882188844,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True
165,0.029396367719059478,1.0092527805202172,3.3585749882188844,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True
166,-0.4286339056985792,1.0092527805202172,3.3585749882188844,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True
167,-0.29019603454943277,1.0092527805202172,3.3585749882188844,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True
168,3.521248556030458,-0.8531521720700288,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
169,-0.6247716131044923,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
170,-0.16607356581335753,-0.32103647132995844,-0.3311759539234933,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True
171,0.38417210594737394,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
172,0.8678073338268761,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
173,1.8347439026491323,-0.8531521720700288,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
174,1.0493583556836101,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
175,-0.7958051964536638,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
176,0.0948590752552175,-0.8531521720700288,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
177,-0.7265236570784503,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
178,-0.802149048251876,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
179,0.11232553563384812,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
180,-0.745826495609195,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
181,-0.606595642985272,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
182,1.4362498436403746,-0.8531521720700288,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
183,-0.7438857777893472,-1.0305240723167188,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
184,1.0688490056162756,-0.8531521720700288,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
185,1.4140463623466315,-0.6757802718233386,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
